closetime,closetheta,omega,,,,,,time,Cd,real_moment,omega,theta,Cip,-0.17722321
0.186,0.240916134,0.643783877,,,,,,0.74,-1.483714776,-0.16163964,-0.103286265,-0.261380915,-0.334505203,
0.187,0.241555158,0.634260245,,,,,,0.744,-1.52666666,-0.167584776,-0.061997865,-0.261670206,-0.208172677,
0.188,0.242184646,0.624711572,,,,,,0.748,-1.570513282,-0.17366646,-0.020670307,-0.26179422,-0.071924245,
0.189,0.242804573,0.615138237,,,,,,0.752,-1.611967611,-0.179670371,0.020670307,-0.26175288,0.074410774,
0.19,0.243414915,0.605540618,,,,,,0.756,-1.653565224,-0.185746331,0.061997865,-0.261546211,0.230732839,
0.191,0.244015647,0.595919092,,,,,,0.76,-1.692848857,-0.191731832,0.103286265,-0.261174343,0.3967795,
0.192,0.244606745,0.586274041,,,,,,0.764,-1.731316966,-0.197767058,0.144509426,-0.260637513,0.572614786,
0.193,0.245188187,0.576605845,,,,,,0.768,-1.768747505,-0.203839653,0.185641312,-0.259936058,0.758185949,
0.194,0.245759949,0.566914885,,,,,,0.772,-1.805195231,-0.209999694,0.226655943,-0.259070422,0.95367018,
0.195,0.246322009,0.557201545,,,,,,0.776,-1.839844182,-0.216044383,0.267527414,-0.258041152,1.158040374,
0.196,0.246874345,0.547466207,,,,,,0.78,-1.871926555,-0.221991378,0.308229908,-0.256848897,1.370955361,
0.197,0.247416935,0.537709256,,,,,,0.784,-1.905033609,-0.228249914,0.348737718,-0.255494411,1.594857828,
0.198,0.247949756,0.527931077,,,,,,0.788,-1.936230477,-0.234566703,0.389025257,-0.253978549,1.828338451,
0.199,0.24847279,0.518132057,,,,,,0.792,-1.962299932,-0.240579568,0.42906708,-0.252302269,2.06821825,
0.2,0.248986014,0.508312581,,,,,,0.796,-1.988047089,-0.246514057,0.468837895,-0.250466629,2.315670843,
0.201,0.249489408,0.498473038,,,,,,0.8,-2.014466346,-0.252903188,0.508312581,-0.24847279,2.575713732,
0.202,0.249982953,0.488613817,,,,,,0.804,-2.037446407,-0.259014514,0.547466207,-0.246322009,2.841147934,
0.203,0.250466629,0.478735306,,,,,,0.808,-2.053434767,-0.264812562,0.586274041,-0.244015647,3.110653794,
0.204,0.250940418,0.468837895,,,,,,0.812,-2.071211022,-0.270617724,0.624711572,-0.241555158,3.387257541,
0.205,0.251404299,0.458921975,,,,,,0.816,-2.087514173,-0.276735831,0.662754522,-0.238942099,3.674773062,
0.206,0.251858255,0.448987937,,,,,,0.82,-2.097966095,-0.282374569,0.700378862,-0.236178118,3.962516117,
0.207,0.252302269,0.439036175,,,,,,0.824,-2.107299495,-0.288462621,0.737560827,-0.233264963,4.262847713,
0.208,0.252736322,0.42906708,,,,,,0.828,-2.11232925,-0.293648547,0.774276933,-0.230204472,4.555505844,
0.209,0.253160397,0.419081046,,,,,,0.832,-2.120402265,-0.299884505,0.81050399,-0.226998579,4.869917607,
0.21,0.253574479,0.409078467,,,,,,0.836,-2.115461952,-0.304530045,0.846219114,-0.223649309,5.163276789,
0.211,0.253978549,0.399059739,,,,,,0.84,-2.115386835,-0.309773535,0.881399749,-0.220158777,5.470533288,
0.212,0.254372593,0.389025257,,,,,,0.844,-2.112655989,-0.316283277,0.916023673,-0.216529188,5.804908218,
0.213,0.254756594,0.378975417,,,,,,0.848,-2.103531562,-0.320711231,0.950069016,-0.212762835,6.104944976,
0.214,0.255130539,0.368910615,,,,,,0.852,-2.091163333,-0.325529676,0.983514275,-0.208862096,6.414808324,
0.215,0.255494411,0.358831249,,,,,,0.856,-2.079047224,-0.330233216,1.016338326,-0.204829435,6.724677908,
0.216,0.255848196,0.348737718,,,,,,0.86,-2.056723887,-0.334569283,1.048520436,-0.2006674,7.028706282,
0.217,0.256191882,0.338630418,,,,,,0.864,-2.033697029,-0.338558272,1.080040277,-0.196378619,7.326318765,
0.218,0.256525453,0.32850975,,,,,,0.868,-2.015862538,-0.343273471,1.110877943,-0.191965801,7.640451366,
0.219,0.256848897,0.318376114,,,,,,0.872,-1.9883359,-0.348830118,1.141013953,-0.187431733,7.974755203,
0.22,0.257162201,0.308229908,,,,,,0.876,-1.960294107,-0.352034999,1.170429275,-0.182779279,8.255501272,
0.221,0.257465353,0.298071534,,,,,,0.88,-1.919544776,-0.354164092,1.199105329,-0.178011378,8.508917046,
0.222,0.25775834,0.287901392,,,,,,0.884,-1.887720807,-0.359897269,1.227024002,-0.173131041,8.847978105,
0.223,0.258041152,0.277719885,,,,,,0.888,-1.849590031,-0.363017239,1.25416766,-0.168141351,9.122109423,
0.224,0.258313776,0.267527414,,,,,,0.892,-1.799908622,-0.363428039,1.28051916,-0.16304546,9.324315101,
0.225,0.258576203,0.257324381,,,,,,0.896,-1.754903239,-0.367240368,1.306061855,-0.157846585,9.610070862,
0.226,0.258828422,0.247111189,,,,,,0.9,-1.707695451,-0.369921102,1.330779615,-0.152548011,9.863423404,
0.227,0.259070422,0.236888242,,,,,,0.904,-1.65655344,-0.370105668,1.354656825,-0.147153084,10.04540512,
0.228,0.259302195,0.226655943,,,,,,0.908,-1.607518922,-0.371976527,1.377678405,-0.141665213,10.26776255,
0.229,0.259523731,0.216414696,,,,,,0.912,-1.546308096,-0.375035536,1.399829814,-0.136087862,10.51865206,
0.23,0.259735021,0.206164906,,,,,,0.916,-1.492656522,-0.374608916,1.42109706,-0.130424556,10.66631196,
0.231,0.259936058,0.195906976,,,,,,0.92,-1.430411177,-0.375122447,1.441466711,-0.12467887,10.83403165,
0.232,0.260126833,0.185641312,,,,,,0.924,-1.368972167,-0.380648465,1.460925901,-0.118854435,11.14203971,
0.233,0.260307338,0.17536832,,,,,,0.928,-1.306802533,-0.377854648,1.479462338,-0.112954929,11.20059548,
0.234,0.260477567,0.165088404,,,,,,0.932,-1.240520598,-0.382810798,1.497064316,-0.106984078,11.48251623,
0.235,0.260637513,0.154801971,,,,,,0.936,-1.178511661,-0.37896215,1.513720715,-0.100945653,11.4935455,
0.236,0.260787169,0.144509426,,,,,,0.94,-1.100222552,-0.384154484,1.529421016,-0.094843469,11.77186818,
