time,theta,Cd,forcex
1.568,-0.282417573,-0.361799578,-0.18057417
1.572,-0.282189202,-0.371368942,-0.185350239
1.576,-0.281914135,-0.380341543,-0.189828464
1.58,-0.281592228,-0.390205141,-0.194751386
1.584,-0.281223347,-0.399786483,-0.199533434
1.588,-0.280807364,-0.40929721,-0.204280238
1.592,-0.280344155,-0.418870096,-0.209058065
1.596,-0.279833609,-0.427932533,-0.213581127
1.6,-0.279275617,-0.437081804,-0.218147528
1.604,-0.278670081,-0.445990599,-0.222593908
1.608,-0.278016907,-0.455855757,-0.227517609
1.612,-0.27731601,-0.464729341,-0.231946414
1.616,-0.276567315,-0.473293042,-0.236220557
1.62,-0.275770749,-0.483028535,-0.241079542
1.624,-0.27492625,-0.491773917,-0.245444362
1.628,-0.274033764,-0.501040326,-0.250069227
1.632,-0.273093243,-0.508486525,-0.253785625
1.636,-0.272104647,-0.517529382,-0.258298915
1.64,-0.271067944,-0.52590005,-0.262476715
1.644,-0.269983108,-0.534625609,-0.266831642
1.648,-0.268850123,-0.543560473,-0.271291032
1.652,-0.267668981,-0.551403322,-0.275205398
1.656,-0.266439678,-0.559855896,-0.279424078
1.66,-0.265162223,-0.567581764,-0.283280058
1.664,-0.263836629,-0.575957972,-0.287460624
1.668,-0.262462918,-0.582781939,-0.290866466
1.672,-0.261041121,-0.590225709,-0.294581651
1.676,-0.259571274,-0.597564335,-0.29824436
1.68,-0.258053425,-0.605933219,-0.30242127
1.684,-0.256487627,-0.612639872,-0.30576856
1.688,-0.254873941,-0.618469757,-0.308678256
1.692,-0.253212438,-0.62571677,-0.31229524
1.696,-0.251503196,-0.632570456,-0.315715915
1.7,-0.2497463,-0.639519931,-0.319184398
1.704,-0.247941845,-0.64471115,-0.321775335
1.708,-0.246089933,-0.649028652,-0.3239302
1.712,-0.244190673,-0.655672276,-0.327246033
1.716,-0.242244185,-0.661459901,-0.330134637
1.72,-0.240250595,-0.664227586,-0.331515988
1.724,-0.238210037,-0.669140526,-0.333968036
1.728,-0.236122654,-0.673492818,-0.336140265
1.732,-0.233988597,-0.677844985,-0.338312432
1.736,-0.231808026,-0.681954702,-0.340363592
1.74,-0.229581108,-0.684956009,-0.341861544
1.744,-0.227308017,-0.687076151,-0.342919707
1.748,-0.224988939,-0.689934773,-0.344346445
1.752,-0.222624064,-0.691993969,-0.34537419
1.756,-0.220213594,-0.692776782,-0.345764892
1.76,-0.217757736,-0.696783336,-0.347764563
1.764,-0.215256706,-0.695559039,-0.347153516
1.768,-0.212710731,-0.698114692,-0.348429043
1.772,-0.210120041,-0.698460502,-0.348601636
1.776,-0.207484879,-0.699402126,-0.349071601
1.78,-0.204805494,-0.698045112,-0.348394315
1.784,-0.202082143,-0.696302061,-0.347524359
1.788,-0.199315092,-0.694556926,-0.346653362
1.792,-0.196504614,-0.695373302,-0.347060815
1.796,-0.193650992,-0.691881242,-0.345317928
1.8,-0.190754516,-0.689876016,-0.34431712
1.804,-0.187815483,-0.687393473,-0.343078082
1.808,-0.1848342,-0.683552383,-0.341160994
1.812,-0.181810982,-0.679968877,-0.339372466
1.816,-0.17874615,-0.675641971,-0.337212908
1.82,-0.175640035,-0.671219866,-0.335005835
1.824,-0.172492976,-0.667064626,-0.332931955
1.828,-0.169305319,-0.660484723,-0.329647925
1.832,-0.166077418,-0.654155349,-0.326488935
1.836,-0.162809636,-0.647230508,-0.323032746
1.84,-0.159502344,-0.640357641,-0.319602498
1.844,-0.156155918,-0.634214535,-0.316536474
1.848,-0.152770746,-0.626008063,-0.312440624
1.852,-0.149347222,-0.616866059,-0.30787785
1.856,-0.145885746,-0.608645997,-0.303775217
1.86,-0.142386729,-0.599418648,-0.299169847
1.864,-0.138850587,-0.589295715,-0.294117491
1.868,-0.135277747,-0.578853862,-0.288905963
1.872,-0.131668639,-0.567523066,-0.283250762
1.876,-0.128023704,-0.554590243,-0.27679599
1.88,-0.124343391,-0.545837249,-0.272427371
1.884,-0.120628154,-0.530622854,-0.264833866
1.888,-0.116878456,-0.517589532,-0.258328936
1.892,-0.113094767,-0.507865036,-0.25347544
1.896,-0.109277566,-0.493029025,-0.246070786
1.9,-0.105427336,-0.477714711,-0.238427412
1.904,-0.10154457,-0.464484467,-0.231824198
1.908,-0.097629768,-0.447295396,-0.223245132
1.912,-0.093683436,-0.433304547,-0.2162623
1.916,-0.089706089,-0.416396933,-0.207823709
1.92,-0.085698247,-0.401668477,-0.200472737
1.924,-0.081660438,-0.38228581,-0.190798848
1.928,-0.077593197,-0.366595895,-0.182968011
1.932,-0.073497067,-0.349220388,-0.174295896
1.936,-0.069372595,-0.328439744,-0.163924276
1.94,-0.065220337,-0.313669215,-0.156552305
1.944,-0.061040856,-0.293792114,-0.146631644
1.948,-0.056834721,-0.272993434,-0.136251023
1.952,-0.052602507,-0.258917372,-0.12922566
1.956,-0.048344796,-0.233302986,-0.11644152
1.96,-0.044062177,-0.21821182,-0.108909519
1.964,-0.039755244,-0.197400399,-0.098522539
1.968,-0.0354246,-0.175218696,-0.087451651
1.972,-0.031070851,-0.155284215,-0.077502352
1.976,-0.026694612,-0.129834596,-0.064800447
1.98,-0.022296502,-0.115017627,-0.057405298
1.984,-0.017877146,-0.090057787,-0.044947841
1.988,-0.013437178,-0.066781976,-0.033330884
1.992,-0.008977234,-0.046734,-0.023324939
1.996,-0.004497959,-0.023079027,-0.011518743
2,-8.8E-17,-0.003449622,-0.001721706
2.004,0.007019499,0.078140653,0.039
2.008,0.014034564,0.154653482,0.077187553
2.012,0.021040765,0.16912966,0.084412613
2.016,0.028033676,0.207177598,0.103402339
2.02,0.03500888,0.237710024,0.118641073
2.024,0.041961972,0.258943291,0.129238596
2.028,0.04888856,0.292346577,0.145910176
2.032,0.055784268,0.322491509,0.160955512
2.036,0.062644743,0.322373542,0.160896635
2.04,0.069465649,0.377794616,0.188557293
2.044,0.076242679,0.390435392,0.194866304
2.048,0.082971553,0.407184264,0.203225666
2.052,0.089648021,0.420377244,0.209810282
2.056,0.096267864,0.433706182,0.216462756
2.06,0.102826903,0.433139312,0.21617983
2.064,0.109320994,0.438104063,0.218657738
2.068,0.115746036,0.428927636,0.214077783
2.072,0.12209797,0.414156579,0.206705548
2.076,0.128372784,0.404108843,0.201690724
2.08,0.134566515,0.377536097,0.188428266
2.084,0.140675252,0.35814413,0.178749735
2.088,0.146695134,0.317481161,0.158454847
2.092,0.152622361,0.296596599,0.148031363
2.096,0.158453189,0.257511405,0.128523942
2.1,0.164183934,0.225293022,0.112443747
2.104,0.169810976,0.192274678,0.095964292
2.108,0.175330763,0.142497229,0.071120367
2.112,0.180739807,0.104589803,0.052200771
2.116,0.186034692,0.056132308,0.028015635
2.12,0.191212073,0.017198724,0.008583883
2.124,0.196268681,-0.034651895,-0.017294761
2.128,0.201201321,-0.081575758,-0.040714461
2.132,0.206006878,-0.144227352,-0.071983871
2.136,0.210682316,-0.192885875,-0.09626934
2.14,0.215224684,-0.255720665,-0.127630184
2.144,0.21963111,-0.310320736,-0.154881079
2.148,0.223898813,-0.393414096,-0.196352975
2.152,0.228025097,-0.445234837,-0.222216707
2.156,0.232007355,-0.498630556,-0.24886651
2.16,0.235843073,-0.56461523,-0.281799461
2.164,0.239529826,-0.621436307,-0.310158861
2.168,0.243065288,-0.687834756,-0.343298327
