,time,,,Cd,theta
357,1.428,2.069578906,-0.728657931,0.259163858,0.188258214
358,1.432,2.222637323,-0.787585892,0.278330661,0.195644086
359,1.436,2.359373558,-0.844509958,0.295453511,0.202960446
360,1.44,2.507035933,-0.899589023,0.313944592,0.210204695
361,1.444,2.655334941,-0.953909273,0.332515395,0.217374259
362,1.448,2.798033304,-1.005701866,0.350384856,0.224466592
363,1.452,2.922104928,-1.045518387,0.365921775,0.231479172
364,1.456,3.046137192,-1.08192027,0.381453766,0.238409509
365,1.46,3.139136009,-1.104031103,0.39309958,0.24525514
366,1.464,3.215642602,-1.119695673,0.40268015,0.252013634
367,1.468,3.269084108,-1.118626323,0.409372384,0.258682588
368,1.472,3.297693203,-1.108751003,0.412954969,0.265259633
369,1.476,3.308284167,-1.087785148,0.414281227,0.271742433
370,1.48,3.314814736,-1.067976549,0.41509902,0.278128684
371,1.484,3.316197775,-1.045770149,0.415272212,0.284416117
372,1.488,3.314563654,-1.01994189,0.415067578,0.290602499
373,1.492,3.308781242,-0.999703203,0.414343473,0.29668563
374,1.496,3.338025257,-0.988536414,0.418005567,0.302663351
375,1.5,3.354987958,-0.977327945,0.420129728,0.308533537
376,1.504,3.394508262,-0.972143762,0.425078674,0.314294103
377,1.508,3.419062325,-0.963909612,0.428153467,0.319943001
378,1.512,3.460196935,-0.957136153,0.433304565,0.325478225
379,1.516,3.488616234,-0.947564804,0.436863383,0.330897809
380,1.52,3.520178534,-0.935749346,0.440815785,0.336199825
381,1.524,3.543926692,-0.923298062,0.443789658,0.341382392
382,1.528,3.565160213,-0.908477696,0.446448634,0.346443667
383,1.532,3.594919993,-0.894400933,0.450175315,0.351381852
384,1.536,3.614550268,-0.879148714,0.452633524,0.356195193
385,1.54,3.639908778,-0.864581402,0.455809053,0.36088198
386,1.544,3.668814264,-0.850549541,0.459428755,0.365440547
387,1.548,3.708938677,-0.838616503,0.464453351,0.369869275
388,1.552,3.731806615,-0.824860448,0.467316998,0.374166589
389,1.556,3.771900679,-0.813087974,0.472337793,0.378330965
390,1.56,3.810011604,-0.801750943,0.477110249,0.382360921
391,1.564,3.854362245,-0.792058775,0.482664076,0.386255026
392,1.568,3.883683346,-0.779447139,0.486335823,0.390011896
393,1.572,3.927452262,-0.769345939,0.491816803,0.393630197
394,1.576,3.950258253,-0.756526046,0.494672692,0.397108643
395,1.58,3.995338979,-0.747477572,0.500317945,0.400445999
396,1.584,4.030534195,-0.735590268,0.50472528,0.403641077
397,1.588,4.047410004,-0.722083676,0.50683856,0.406692744
398,1.592,4.073398713,-0.708756268,0.510093007,0.409599915
399,1.596,4.092509957,-0.695517944,0.51248622,0.412361558
400,1.6,4.1003276,-0.681233803,0.513465187,0.41497669
401,1.604,4.123656827,-0.669502117,0.516386599,0.417444382
402,1.608,4.139607355,-0.656134253,0.518384011,0.419763759
403,1.612,4.14182567,-0.641257791,0.5186618,0.421933996
404,1.616,4.146301229,-0.628197652,0.519222254,0.423954321
405,1.62,4.139921355,-0.61357884,0.518423331,0.425824018
406,1.624,4.122612787,-0.597403684,0.516255859,0.427542421
407,1.628,4.107074468,-0.581723257,0.514310067,0.429108921
408,1.632,4.092907814,-0.567795059,0.512536042,0.43052296
409,1.636,4.086543341,-0.554511168,0.511739048,0.431784037
410,1.64,4.058004618,-0.538868543,0.508165275,0.432891702
411,1.644,4.030708033,-0.524215115,0.504747049,0.433845564
412,1.648,3.985183583,-0.507017658,0.499046231,0.434645282
413,1.652,3.940315073,-0.490686084,0.493427554,0.435290572
414,1.656,3.88619593,-0.47309013,0.486650462,0.435781206
415,1.66,3.836236776,-0.456566589,0.480394307,0.436117009
416,1.664,3.789229742,-0.440973815,0.474507832,0.436297862
417,1.668,3.748065894,-0.427165695,0.469353072,0.4363237
418,1.672,3.697511052,-0.411837194,0.463022322,0.436194515
419,1.676,3.640782442,-0.39620975,0.455918459,0.435910351
420,1.68,3.576645634,-0.379584633,0.447886901,0.435471311
421,1.684,3.509473766,-0.363001408,0.439475276,0.43487755
422,1.688,3.452643365,-0.348886338,0.432358666,0.434129279
423,1.692,3.380033601,-0.332959972,0.423266079,0.433226763
424,1.696,3.315387781,-0.318821209,0.41517078,0.432170325
425,1.7,3.232351983,-0.301559698,0.404772588,0.430960338
426,1.704,3.153981366,-0.285008745,0.394958596,0.429597233
427,1.708,3.095255492,-0.272855097,0.387604625,0.428081495
428,1.712,3.010232494,-0.255587679,0.376957585,0.426413661
429,1.716,2.925123844,-0.239126007,0.36629982,0.424594324
430,1.72,2.841243786,-0.223582511,0.355795906,0.422624131
431,1.724,2.76521194,-0.210396492,0.346274787,0.420503782
432,1.728,2.694380886,-0.197301288,0.33740494,0.418234029
433,1.732,2.59442676,-0.179274839,0.324888144,0.41581568
434,1.736,2.505156715,-0.163747275,0.313709266,0.413249594
435,1.74,2.446991283,-0.154461446,0.306425476,0.410536682
436,1.744,2.360590844,-0.14049644,0.295605946,0.407677909
437,1.748,2.292002269,-0.128673317,0.287016914,0.404674289
438,1.752,2.201007306,-0.114188285,0.275622033,0.40152689
439,1.756,2.116023277,-0.100873935,0.264979873,0.398236831
440,1.76,2.062931823,-0.09345172,0.258331475,0.394805281
441,1.764,1.962320528,-0.076136654,0.245732384,0.391233458
442,1.768,1.862368898,-0.059728258,0.233215901,0.387522631
443,1.772,1.753092368,-0.041033808,0.219531703,0.383674119
444,1.776,1.66452866,-0.025565693,0.208441277,0.37968929
445,1.78,1.593053075,-0.013899812,0.199490718,0.37556956
446,1.784,1.466934337,0.008107173,0.183697448,0.371316391
