theta,Cd,Cip
0.261849173,-0.028947722,0.043336993
0.263719103,-0.043593142,0.025077722
0.265533213,-0.057632592,0.007959474
0.267291081,-0.073339295,-0.008865332
0.268992298,-0.088939294,-0.023741199
0.270636464,-0.10498316,-0.03852095
0.272223193,-0.120884559,-0.051219501
0.273752111,-0.13614145,-0.062190491
0.275222855,-0.150518416,-0.071847599
0.276635074,-0.164309931,-0.079959011
0.277988431,-0.177001113,-0.087141719
0.279282599,-0.195045938,-0.094106198
0.280517265,-0.207720298,-0.099042581
0.281692126,-0.224279654,-0.103195591
0.282806895,-0.239383559,-0.10581948
0.283861296,-0.25297702,-0.107430314
0.284855064,-0.267667465,-0.108161688
0.28578795,-0.281458506,-0.107406968
0.286659716,-0.295902202,-0.105854748
0.287470136,-0.309434054,-0.10307719
0.288218999,-0.323637248,-0.099329953
0.288906107,-0.337178955,-0.094458499
0.289531272,-0.351281651,-0.088678049
0.290094324,-0.363841007,-0.081590894
0.290595102,-0.378222128,-0.073709649
0.291033461,-0.391327813,-0.064802952
0.291409268,-0.404328272,-0.055003091
0.291722404,-0.41727472,-0.044187767
0.291972763,-0.429837752,-0.032381957
0.292160252,-0.442240058,-0.019641223
0.292284794,-0.454506719,-0.005964419
0.292346322,-0.466829039,0.008636375
0.292344785,-0.478891055,0.0241542
0.292280146,-0.490982533,0.040588794
0.29215238,-0.502965844,0.057943388
0.291961475,-0.514981788,0.076247078
0.291707437,-0.52667646,0.095427856
0.29139028,-0.537726513,0.115459116
0.291010036,-0.548702131,0.136366169
0.29056675,-0.560642779,0.158279755
0.290060479,-0.571095403,0.180889209
0.289491295,-0.582948167,0.204680098
0.288859284,-0.593754127,0.22947109
0.288164545,-0.6053953,0.255313351
0.287407192,-0.616196274,0.28196274
0.286587352,-0.626920614,0.309623045
0.285705165,-0.637786572,0.338223017
0.284760787,-0.647462167,0.367388291
0.283754386,-0.659001838,0.398243012
0.282686143,-0.667810208,0.429166934
0.281556256,-0.677069066,0.46103388
0.280364932,-0.687606979,0.49488463
0.279112396,-0.697063496,0.528788105
0.277798885,-0.706291455,0.563452017
0.276424648,-0.714226534,0.59890859
