time,forcex,moment,Cd,theta,omega,Cip,real_moment
0.748,0.119750059,0.123418171,0.239931997,-0.151744832,-1.072345777,1.624173703,0.07559363
0.752,0.116492156,0.116678594,0.233404441,-0.156003255,-1.056794012,1.513212968,0.071465639
0.756,0.106617855,0.10882113,0.213620227,-0.160198614,-1.040815042,1.389969641,0.066652942
0.76,0.09897731,0.101870576,0.198311582,-0.164329214,-1.024415328,1.28068804,0.062395728
0.764,0.091223523,0.095237956,0.182776042,-0.168393385,-1.007601498,1.177653144,0.058333248
0.768,0.080371316,0.087026944,0.161032491,-0.172389483,-0.990380351,1.057728662,0.053304003
0.772,0.071126555,0.080081736,0.142509628,-0.176315894,-0.972758846,0.955998453,0.049050063
0.776,0.061863368,0.073258358,0.123949846,-0.180171029,-0.954744109,0.858346602,0.044870744
0.78,0.048125959,0.0654607,0.096425485,-0.183953332,-0.93634342,0.752201731,0.040094679
0.784,0.039718539,0.05852199,0.079580322,-0.187661272,-0.917564219,0.658982802,0.035844719
0.788,0.028899148,0.051588507,0.057902521,-0.191293351,-0.898414097,0.568784872,0.03159796
0.792,0.01228746,0.043846053,0.024619235,-0.194848101,-0.878900795,0.472921307,0.026855707
0.796,0.00356867,0.037422385,0.00715021,-0.198324084,-0.859032202,0.394511288,0.022921211
0.8,-0.008439817,0.03029422,-0.016910073,-0.201719895,-0.838816349,0.311849597,0.01855521
0.804,-0.025636339,0.022596288,-0.051365134,-0.205034162,-0.818261408,0.226906894,0.013840226
0.808,-0.033644942,0.016655054,-0.067411224,-0.208265545,-0.797375689,0.162977466,0.010201221
0.812,-0.050740203,0.009329595,-0.1016634,-0.211412738,-0.776167634,0.088866245,0.005714377
0.816,-0.063238205,0.002615995,-0.126704478,-0.214474468,-0.754645817,0.024226945,0.001602297
0.82,-0.077518808,-0.00403744,-0.155317188,-0.217449498,-0.732818938,-0.036309583,-0.002472932
0.824,-0.090487151,-0.010399526,-0.181300643,-0.220336625,-0.71069582,-0.09070178,-0.006369709
0.828,-0.104321496,-0.017029771,-0.209019226,-0.223134681,-0.688285407,-0.143845375,-0.010430735
0.832,-0.117418542,-0.023249094,-0.235260554,-0.225842537,-0.665596758,-0.189904716,-0.01424007
0.836,-0.133928531,-0.029881994,-0.268340074,-0.228459097,-0.642639044,-0.235665062,-0.018302721
0.84,-0.146166105,-0.035818458,-0.292859358,-0.230983303,-0.619421547,-0.272277479,-0.021938806
0.844,-0.161792467,-0.042251367,-0.324168438,-0.233414135,-0.595953651,-0.309009455,-0.025878962
0.848,-0.174282835,-0.048057902,-0.34919422,-0.235750611,-0.572244843,-0.337493351,-0.029435465
0.852,-0.191452096,-0.054316995,-0.383594663,-0.237991786,-0.548304709,-0.365490618,-0.033269159
0.856,-0.201951564,-0.059773034,-0.404631465,-0.240136753,-0.524142924,-0.384479823,-0.036610984
0.86,-0.216742742,-0.065583414,-0.434267164,-0.242184646,-0.499769258,-0.40223706,-0.040169841
0.864,-0.232449827,-0.0717103,-0.465737983,-0.244134638,-0.475193562,-0.418187079,-0.043922559
0.868,-0.245417796,-0.077238132,-0.49172069,-0.245985939,-0.450425771,-0.426946559,-0.047308356
0.872,-0.259158511,-0.082826546,-0.519251676,-0.247737801,-0.425475897,-0.43247702,-0.050731259
0.876,-0.273441603,-0.088381176,-0.547869371,-0.249389517,-0.400354027,-0.434232674,-0.05413347
