time,theta,omega,real_moment,Cd,Cip
0.888,-0.129722983,-0.56064792,0.012032566,0.057411615,0.135163956
0.892,-0.131944963,-0.550310469,0.010200483,0.050821374,0.112471099
0.896,-0.134125218,-0.539786215,0.00821001,0.040511127,0.088792834
0.9,-0.136263008,-0.529078414,0.006287321,0.033261055,0.06664969
0.904,-0.138357605,-0.518190385,0.00459273,0.02700669,0.047683997
0.908,-0.140408295,-0.50712551,0.002430901,0.013248138,0.024699897
0.912,-0.142414378,-0.49588723,0.000633126,0.005902455,0.006290507
0.916,-0.144375167,-0.484479051,-0.001350532,-0.005142162,-0.013109685
0.92,-0.146289989,-0.472904535,-0.00305563,-0.012496402,-0.02895254
0.924,-0.148158186,-0.461167305,-0.004899654,-0.021689808,-0.045272692
0.928,-0.149979115,-0.449271039,-0.006605593,-0.030765079,-0.059461067
0.932,-0.151752147,-0.437219474,-0.008642147,-0.045044519,-0.075706574
0.936,-0.153476669,-0.425016399,-0.010302921,-0.052259344,-0.087736136
0.94,-0.155152081,-0.41266566,-0.012291787,-0.064473305,-0.101630904
0.944,-0.156777802,-0.400171154,-0.014009192,-0.073367166,-0.112323675
0.948,-0.158353264,-0.38753683,-0.015751853,-0.083006643,-0.122308622
0.952,-0.159877916,-0.374766687,-0.017456798,-0.09292963,-0.13108047
0.956,-0.161351222,-0.361864773,-0.019275156,-0.104496052,-0.139751555
0.96,-0.162772664,-0.348835185,-0.020913103,-0.113911788,-0.146167628
0.964,-0.164141739,-0.335682065,-0.02265625,-0.124176407,-0.152380223
0.968,-0.165457961,-0.322409602,-0.024408083,-0.136242772,-0.157671816
0.972,-0.166720862,-0.309022026,-0.02607894,-0.146463682,-0.161469986
0.976,-0.16792999,-0.295523613,-0.027730798,-0.156626812,-0.16419767
0.98,-0.169084909,-0.281918678,-0.029317502,-0.166371815,-0.165601107
0.984,-0.170185203,-0.268211576,-0.030924947,-0.176243238,-0.166187715
0.988,-0.171230471,-0.254406703,-0.032541354,-0.186971101,-0.165873341
0.992,-0.172220332,-0.240508488,-0.034101932,-0.196297394,-0.164331881
0.996,-0.173154421,-0.226521399,-0.035685009,-0.207161272,-0.161959893
1,-0.174032391,-0.212449937,-0.037245079,-0.217923771,-0.158539665
1.004,-0.174853914,-0.198298636,-0.038711397,-0.226471367,-0.153805194
1.008,-0.175618679,-0.184072061,-0.040186871,-0.236088795,-0.148212384
1.012,-0.176326396,-0.169774807,-0.041676053,-0.245124101,-0.141766056
1.016,-0.17697679,-0.155411499,-0.043168619,-0.254585943,-0.134419953
1.02,-0.177569606,-0.140986787,-0.044662774,-0.263948558,-0.126164315
1.024,-0.178104608,-0.126505347,-0.046119268,-0.272473419,-0.116897094
1.028,-0.178581579,-0.111971879,-0.047555104,-0.281380768,-0.106688728
1.032,-0.17900032,-0.097391107,-0.048949002,-0.289984895,-0.095515879
1.036,-0.179360652,-0.082767773,-0.050349097,-0.29791374,-0.083495945
1.04,-0.179662412,-0.068106641,-0.051763235,-0.306134842,-0.070635545
1.044,-0.179905461,-0.053412491,-0.053141061,-0.314081885,-0.056870295
