time,theta,Cd,Cip
1.412,-0.167905504,-0.035513305,-0.031056044
1.416,-0.168490881,-0.039498433,-0.031314867
1.42,-0.169049652,-0.042754475,-0.031325533
1.424,-0.169581729,-0.046113669,-0.031184476
1.428,-0.170087026,-0.049477222,-0.030935681
1.432,-0.170565464,-0.052630909,-0.030500683
1.436,-0.171016969,-0.055939474,-0.029889288
1.44,-0.171441467,-0.059138287,-0.029129563
1.444,-0.171838893,-0.062414672,-0.028241584
1.448,-0.172209184,-0.065390252,-0.027141554
1.452,-0.172552281,-0.068701388,-0.025929941
1.456,-0.17286813,-0.072169738,-0.024583263
1.46,-0.173156681,-0.075248517,-0.023040398
1.464,-0.173417889,-0.078285317,-0.021371486
1.468,-0.173651711,-0.081383828,-0.019558384
1.472,-0.173858113,-0.083998162,-0.017588124
1.476,-0.17403706,-0.087213336,-0.015485857
1.48,-0.174188524,-0.090185076,-0.01325436
1.484,-0.174312483,-0.093077055,-0.01087098
1.488,-0.174408915,-0.0959925,-0.008355292
1.492,-0.174477806,-0.099132282,-0.005702769
1.496,-0.174519145,-0.101732225,-0.002916215
1.5,-0.174532925,-0.104555415,-4.47055E-14
1.504,-0.174519145,-0.107285686,0.003046687
1.508,-0.174477806,-0.109658387,0.006224054
1.512,-0.174408915,-0.11237641,0.009518815
1.516,-0.174312483,-0.114898669,0.012944148
1.52,-0.174188524,-0.117354109,0.016490151
1.524,-0.17403706,-0.119756745,0.020157561
1.528,-0.173858113,-0.122432059,0.023960746
1.532,-0.173651711,-0.124597513,0.027863401
1.536,-0.173417889,-0.126872237,0.031873814
1.54,-0.173156681,-0.128950253,0.036009075
1.544,-0.17286813,-0.130962754,0.040281981
1.548,-0.172552281,-0.133105332,0.044609509
1.552,-0.172209184,-0.135273846,0.049069873
1.556,-0.171838893,-0.136955287,0.053606339
1.56,-0.171441467,-0.139019123,0.058314586
1.564,-0.171016969,-0.140809879,0.063061815
1.568,-0.170565464,-0.142474756,0.067911483
1.572,-0.170087026,-0.14421378,0.072849624
1.576,-0.169581729,-0.146023743,0.07800026
1.58,-0.169049652,-0.147557091,0.083105941
1.584,-0.168490881,-0.149170452,0.088322968
1.588,-0.167905504,-0.150495058,0.093567015
1.592,-0.167293612,-0.151861823,0.099095756
1.596,-0.166655302,-0.1530317,0.104562508
1.6,-0.165990676,-0.154531644,0.110207526
1.604,-0.165299838,-0.155948215,0.11590746
1.608,-0.164582897,-0.157277718,0.121658644
1.612,-0.163839966,-0.158096569,0.127606671
1.616,-0.163071163,-0.159450709,0.133607417
1.62,-0.16227661,-0.160440753,0.139851514
1.624,-0.161456431,-0.161262198,0.145919645
1.628,-0.160610756,-0.162534234,0.152310655
1.632,-0.159739719,-0.162962918,0.158501086
1.636,-0.158843457,-0.16383502,0.164732686
1.64,-0.157922112,-0.164616758,0.171459187
1.644,-0.156975829,-0.1652441,0.177721519
1.648,-0.156004758,-0.16578421,0.184424463
1.652,-0.155009052,-0.166137265,0.190925088
1.656,-0.153988869,-0.166995538,0.197748134
1.66,-0.152944368,-0.166820548,0.204739827
1.664,-0.151875716,-0.167101454,0.211382643
1.668,-0.150783081,-0.167566659,0.218019415
1.672,-0.149666636,-0.166965569,0.224805122
1.676,-0.148526556,-0.167046911,0.23142164
1.68,-0.147363023,-0.166997911,0.238203864
1.684,-0.146176219,-0.166819649,0.245165617
1.688,-0.144966332,-0.166640481,0.25214258
1.692,-0.143733553,-0.166407002,0.259216136
1.696,-0.142478077,-0.165762764,0.265668918
1.7,-0.141200103,-0.165598455,0.272562289
1.704,-0.139899831,-0.164534223,0.279907816
1.708,-0.138577467,-0.163623742,0.28726049
1.712,-0.13723322,-0.163005648,0.293645596
1.716,-0.135867303,-0.161834393,0.300663024
1.72,-0.13447993,-0.160624403,0.3075662
1.724,-0.133071322,-0.160267923,0.314107279
1.728,-0.1316417,-0.159843254,0.320422947
1.732,-0.13019129,-0.157995593,0.328285097
1.736,-0.128720322,-0.156839299,0.335157491
1.74,-0.127229027,-0.155192653,0.341870215
1.744,-0.125717641,-0.153577378,0.348113848
1.748,-0.124186403,-0.151865544,0.355236718
1.752,-0.122635555,-0.151099022,0.361038466
1.756,-0.121065341,-0.148554386,0.368030082
1.76,-0.119476009,-0.147431479,0.374190519
1.764,-0.11786781,-0.145597477,0.380992115
1.768,-0.116240999,-0.143169898,0.387125908
1.772,-0.114595833,-0.141116537,0.394198482
1.776,-0.11293257,-0.139475214,0.4006061
1.78,-0.111251474,-0.137708152,0.4073548
1.784,-0.109552809,-0.136046924,0.412082867
1.788,-0.107836846,-0.133240419,0.418683831
1.792,-0.106103853,-0.130829905,0.425101047
1.796,-0.104354106,-0.127943527,0.431248259
1.8,-0.102587879,-0.125766328,0.437114393
1.804,-0.100805453,-0.12316505,0.443059306
